# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication_status	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
11 Oph b	Confirmed	21.0	3.0	3.0							730000.0	365000.0	365000.0	243.0	55.0	55.0							1.675862	2007	2016-02-26																																					Published in a refereed paper	Imaging					11 Oph	245.6041667	-24.0872222					14.03	145.0	20.0	20.0				0.0162	0.005	0.005				M9	0.011	0.002	0.002	2375.0	175.0	175.0			
1RXS 1609 b	Confirmed	14.0	3.0	2.0				1.7						330.0	0.0	0.0							2.275862	2008	2015-03-05																															1800.0					4.0	Published in a refereed paper	Imaging			1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609	H2O, CO, K	1RXS1609	242.375	-21.0827778		10.99	9.82	9.12	8.92	145.0	20.0	20.0				0.73	0.05	0.05	1.35			K7V	0.011	0.002	0.002	4060.0	200.0	200.0			
2M 0103-55 (AB) b	Confirmed	13.0	1.0	1.0										84.0										2013	2016-02-23																																					Published in a refereed paper	Imaging					2M 0103-55 (AB)	15.9	-55.2656			7.5			47.2	3.1	3.1				0.4						M	0.03								
2M 0122-24 b	Confirmed	20.0	7.0	7.0				1.0	0.2	0.2				52.0	6.0	6.0								2013	2016-02-23																															1380.0						Published in a refereed paper	Imaging					2M 0122-24	20.7125	-24.6142						36.0	4.0	4.0				0.4	0.05	0.05				M3.5	0.12	0.01	0.01						
2M 0219-39 b	Confirmed	13.9	1.1	1.1				1.44	0.03	0.03				156.0	10.0	10.0								2015	2016-02-23																															1683.0						Published in a refereed paper	Imaging	Spectrum	Theoretical			2M 0219-39	34.841666674	-39.423055569						39.4	2.6	2.6				0.11	0.01	0.01	0.27	0.01	0.01	M6				3064.0	76.0	76.0			2MASS J0292210-3925225
2M 0441+23 b	Confirmed	7.5	2.5	2.5										15.0	0.6	0.6							0.107143	2010	2016-02-23																																					Published in a refereed paper	Imaging					2M 0441+23	70.4375	23.0308333			14.2	13.72	13.16	140.0						0.02						M8.5	0.001								
2M 0746+20 b	Confirmed	30.0	25.0	25.0				0.97	0.06	0.06	4640.0	25.0	25.0	2.897	0.005	0.005	0.487	0.003	0.003	138.2	0.5	0.5	0.237265	2010	2012-01-20	354.4	0.9	0.9																																		Published in a refereed paper	Imaging					2M 0746+20	116.6791667	20.0088889						12.21	0.05	0.05				0.12	0.09	0.09	0.089	0.003	0.003					2205.0	50.0	50.0			
2M 1207-39	Confirmed	24.0	6.0	6.0																				2001	2017-03-09																												2550.0	150.0	150.0							Published in a refereed paper	Imaging	Spectrum		2MASS J12073346-3932539		2M 1207-39	181.8875	-39.5483333	20.15	15.95	13.0			52.4	1.1	1.1				0.025						M8	0.008	0.003	0.003						
2M 1207-39 b	Confirmed	4.0	1.0	1.0										46.0	5.0	5.0							0.877863	2004	2016-02-23																																					Published in a refereed paper	Imaging					2M 1207-39	181.8875	-39.5483333	20.15	15.95	13.0			52.4	1.1	1.1				0.025						M8	0.008	0.003	0.003						
2M 2140+16 b	Confirmed	20.0	20.0	80.0				0.92	0.39	0.39	7340.0	584.0	584.0	3.53	0.15	0.15	0.26	0.06	0.06	46.2	8.7	8.7	0.1412	2010	2012-01-20	223.0	47.0	47.0																																		Published in a refereed paper	Imaging					2M 2140+16	325.1208333	16.4216667						25.0	10.0	10.0				0.08	0.06	0.06	0.1	0.043	0.043					2300.0	80.0	80.0			
2M 2206-20 b	Confirmed	30.0	20.0	70.0				1.3	0.18	0.18	8686.0	69.4	69.4	4.48	0.4	0.4	0.0			44.3	0.7	0.7	0.167979	2010	2012-01-20																																					Published in a refereed paper	Imaging					2M 2206-20	331.5958333	-20.785						26.67	2.63	2.63				0.13	0.05	0.05	0.11	0.015	0.015					2350.0	80.0	80.0			
2M 2236+4751 b	Confirmed	12.5	1.5	1.5										230.0	20.0	20.0							3.7	2016	2016-11-03																															1200.0						Published in a refereed paper	Imaging	Spectrum			H2O, CO	2M 2236+4751	339.104166675	47.861944471	12.5					63.0						0.6	0.05	0.05				K7	0.12	0.01	0.01						
2M J2126-81 b	Confirmed	13.3	1.7	1.7										6900.0										2016	2016-02-23																															1800.0						Published in a refereed paper	Imaging	Spectrum				TYC 9486-927-1	321.366666676	-81.64111113	9.0					24.75	4.25	4.25				0.4						M2	0.027	0.017	0.017						
2MASS J11193254 AB	Confirmed	3.7	0.9	1.2							32850.0													2017	2017-06-30																																					Published in a refereed paper	Imaging					2MASS J11193254 AB	169.885595844	-11.6296389116					14.62													L7	0.01	0.003	0.003						
51 Eri b	Confirmed	9.1	3.3	4.9				1.11	0.13	0.16	14965.0	4380.0	12775.0	14.0	3.0	7.0	0.21	0.15	0.15	138.0	13.0	15.0		2015	2017-04-13	90.0	58.0	58.0	2452014.79	12.0	12.0																						700.0								3.5	Published in a refereed paper	Imaging	Spectrum			CH4, H2O	51 Eri	69.4005514287	-2.47354859817	5.223					29.4	0.3	0.3	-0.027			1.75	0.05	0.05				F0IV	0.02	0.006	0.006				IR Excess		
AB Pic b	Confirmed	13.5	0.5	0.5										275.0									5.813953	2005	2010-12-06																																					Published in a refereed paper	Imaging					AB Pic	94.8	-58.0541667	9.16					47.3	1.8	1.8	-0.64									K2 V	0.03			4875.0					
CD-35 2722 b	Confirmed	31.0	8.0	8.0										67.0	4.0	4.0							3.14554	2011	2011-02-23																																					Published in a refereed paper	Imaging					CD-35 2722	92.3300429231	-35.8253322455	10.98					21.3	1.4	1.4	0.04	0.5	0.5	0.4	0.05	0.05				M1V	0.1	0.05	0.05	3680.0	100.0	100.0			
CFBDS 1458 	Confirmed	25.2	14.8	14.8																				2010	2017-03-09																												560.0	100.0	100.0							Published in a refereed paper	Imaging	Theoretical				CFBDS 1458	224.6208333	10.2286111			19.86	20.18	20.63	31.9	2.4	2.8				0.024	0.016	0.016				T9.5	3.0	2.0	2.0	560.0	100.0	100.0			
