# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication_status	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
11 Com b	Confirmed	19.4	1.5	1.5	19.4	1.5	1.5				326.03	0.32	0.32	1.29	0.05	0.05	0.231	0.005	0.005				0.011664	2008	2015-08-21	94.8	1.5	1.5	2452899.6	1.6	1.6																			296.7	5.6	5.6										Published in a refereed paper	Radial Velocity					11 Com	185.1791667	17.7927778	4.74					110.6	10.5	10.5	-0.35	0.09	0.09	2.7	0.3	0.3	19.0	2.0	2.0	G8 III				4742.0	100.0	100.0			
11 UMi b	Confirmed	10.5	2.47	2.47	10.5	2.47	2.47				516.22	3.25	3.25	1.54	0.07	0.07	0.08	0.03	0.03				0.012887	2009	2009-08-13	117.63	21.06	21.06	2452861.05	2.06	2.06																															Published in a refereed paper	Radial Velocity					11 UMi	229.275	71.8238889	5.02					119.5	6.9	6.9	0.04	0.04	0.04	1.8	0.25	0.25	24.08	1.84	1.84	K4III	1.56	0.54	0.54	4340.0	70.0	70.0			
14 And b	Confirmed	5.33	0.57	0.57	5.33	0.57	0.57				185.84	0.23	0.23	0.83			0.0						0.010864	2008	2014-08-27				2452861.4	1.5	1.5																															Published in a refereed paper	Radial Velocity					14 And	352.8208333	39.2361111	5.22	4.1	3.02	2.61	2.33	76.4	4.1	4.1	-0.24			2.2	0.2	0.2	11.0	1.0	1.0	K0III				4813.0	20.0	20.0			
14 Her b	Confirmed	4.64	0.19	0.19	4.64	0.19	0.19				1773.4	2.5	2.5	2.77	0.05	0.05	0.369	0.005	0.005				0.153039	2002	2014-08-27	22.6	0.9	0.9	2451372.7	3.6	3.6																															Published in a refereed paper	Radial Velocity					14 Her	242.5958333	43.8216667	6.67					18.1			0.43	0.08	0.08	0.9			0.708	0.085	0.085	K0 V	5.1			5311.0	87.0	87.0			
16 Cyg B b	Confirmed	1.68	0.07	0.07	1.68	0.07	0.07				799.5	0.6	0.6	1.68	0.03	0.03	0.689	0.011	0.011				0.078468	1996	2014-08-27	83.4	2.1	2.1	2450539.3	1.6	1.6																															Published in a refereed paper	Radial Velocity					16 Cyg B	295.4625	50.5175	6.2					21.41	0.24	0.24	0.08	0.04	0.04	1.01	0.04	0.04	0.98	0.13	0.13	G2.5 V	8.0	1.8	1.8	5766.0	60.0	60.0			
18 Del b	Confirmed	10.3			10.3						993.3	3.2	3.2	2.6			0.08	0.01	0.01				0.035568	2008	2014-08-27	166.1	6.5	6.5	2451672.0	18.0	18.0																															Published in a refereed paper	Radial Velocity					18 Del	314.6083333	10.8391667	5.52		4.03	3.44	3.67	73.1	3.5	3.5	-0.052	0.023	0.023	2.3			8.5			G6III				4979.0	18.0	18.0			
24 Sex b	Confirmed	1.99	0.38	0.26	1.99	0.38	0.26				452.8	4.5	2.1	1.333	0.009	0.004	0.09	0.06	0.14				0.017821	2010	2014-05-23	9.2	165.4	277.9	2454762.0	172.3	172.3																															Published in a refereed paper	Radial Velocity					24 Sex	155.8666667	0.9022222	7.38					74.8	4.9	4.9	-0.03	0.04	0.04	1.54	0.08	0.08	4.9	0.08	0.08	G5	2.7	0.4	0.4	5098.0	44.0	44.0			
24 Sex c	Confirmed	0.86	0.22	0.35	0.86	0.22	0.35				883.0	14.0	32.0	2.08	0.02	0.05	0.29	0.09	0.16				0.027807	2010	2014-05-23	220.5	320.9	182.2	2454930.0	96.5	96.5																															Published in a refereed paper	Radial Velocity					24 Sex	155.8666667	0.9022222	7.38					74.8	4.9	4.9	-0.03	0.04	0.04	1.54	0.08	0.08	4.9	0.08	0.08	G5	2.7	0.4	0.4	5098.0	44.0	44.0			
30 Ari B b	Confirmed	9.88	0.94	0.94	9.88	0.94	0.94				335.1	2.5	2.5	0.995	0.012	0.012	0.289	0.092	0.092				0.025254	2009	2009-11-27	307.0	18.0	18.0	2454538.0	20.0	20.0																															Published in a refereed paper	Radial Velocity					30 Ari B	39.2416667	24.6480556	7.1					39.4	1.7	1.7	0.12	0.08	0.08	1.22	0.08	0.08	1.23	0.07	0.07	F6V	0.91	0.03	0.03	6484.0	98.0	98.0			
4 Uma b	Confirmed	7.1	1.6	1.6	7.1	1.6	1.6				269.3	1.96	1.96	0.87	0.04	0.04	0.432	0.024	0.024				0.011083	2007	2014-08-27	23.81	4.42	4.42	2452987.3936	4.31	4.31																															Published in a refereed paper	Radial Velocity					4 Uma	130.0541667	64.3280556	5.79					78.5	1.6	1.6	-0.25	0.04	0.04	1.234	0.15	0.15				K1III	4.604	2.0	2.0	4415.0	70.0	70.0			
