name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
 OGLE-2016-BLG-1469L b,Confirmed,13.6,3.0,3.0,,,,,,,,,,0.33,0.04,0.04,,,,,,,,2017,2017-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2016-BLG-1469L,271.945750016,-26.2898888998,,,,,,4500.0,,,,,,0.048,0.007,0.007,,,,,,,,,,,,,
MOA-2007-BLG-192L b,Confirmed,0.01,0.005,0.015,,,,,,,,,,0.66,0.14,0.14,,,,,,,0.000943,2008,2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2007-BLG-192L,272.0166667,-27.15,,19.81,19.6,,,700.0,120.0,120.0,,,,0.06,0.012,0.012,,,,M,,,,,,,,,
MOA-2007-BLG-197L b,Confirmed,41.0,2.0,2.0,,,,,,,,,,4.29,0.1,0.1,,,,,,,,2015,2015-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,MOA-2007-BLG-197L,271.770833335,-31.946388918,,,,,,4170.0,300.0,300.0,,,,0.82,0.04,0.04,,,,,,,,,,,,,
MOA-2007-BLG-400L b,Confirmed,0.9,0.4,0.4,,,,,,,,,,0.85,0.25,0.25,,,,,,,0.000142,2008,2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Microlensing,,,,,MOA-2007-BLG-400L,272.425,-29.2241667,,,,,,6000.0,,,,,,0.35,0.15,0.15,,,,,,,,,,,,,
MOA-2008-BLG-310L b,Confirmed,0.23,0.05,0.05,,,,,,,,,,1.25,0.1,0.1,,,,,,,0.000208,2009,2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Microlensing,,,,,MOA-2008-BLG-310L,268.5583333,-34.7780556,,,,23.38,,6000.0,nan,inf,,,,0.67,0.14,0.14,,,,,,,,,,,,,
MOA-2008-BLG-379L b,Confirmed,4.1,1.9,1.7,,,,,,,,,,3.3,1.2,1.7,,,,,,,,2013,2014-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2008-BLG-379L,269.704166683,-29.803055541,,,,,,3600.0,1300.0,1300.0,,,,0.66,0.3,0.3,,,,,,,,,,,,,
MOA-2009-BLG-266L b,Confirmed,0.0327,0.005,0.005,,,,,,,2780.0,500.0,500.0,3.2,0.5,0.5,,,,,,,0.001053,2010,2011-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2009-BLG-266L,267.025,-35.0052778,,,,,,3040.0,330.0,330.0,,,,0.56,0.09,0.09,,,,,,,,,,,,,
MOA-2009-BLG-319 b,Confirmed,0.157,0.075,0.138,,,,,,,,,,2.0,0.4,0.4,,,,,,,0.000328,2010,2010-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Microlensing,,,,,MOA-2009-BLG-319,271.7416667,-26.8197222,,,,,,6100.0,1.2,1.2,,,,0.38,0.18,0.18,,,,K,,,,,,,,,
MOA-2009-BLG-387L b,Confirmed,2.6,1.6,4.1,,,,,,,1970.0,1.6,1.6,1.8,0.7,0.7,,,,,,,0.000316,2011,2014-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2009-BLG-387L,268.4625,-33.9902778,,,,,,5700.0,2200.0,2200.0,,,,0.19,0.12,0.12,,,,M,,,,,,,,,
MOA-2010-BLG-117 b,Confirmed,0.51,0.07,0.07,,,,,,,,,,2.9,0.5,1.6,,,,,,,,2017,2017-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,MOA-2010-BLG-117,271.95695835,-25.3446389046,21.7,,,,,3400.0,200.0,200.0,,,,0.58,0.1,0.1,,,,,,,,,,,,,
MOA-2010-BLG-328L b,Confirmed,0.029,0.007,0.007,,,,,,,,,,0.92,0.16,0.16,,,,,,,,2013,2013-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2010-BLG-328L,269.4958,-30.7153,,,,,,810.0,100.0,100.0,,,,0.11,0.01,0.01,,,,M,,,,,,,,,
MOA-2010-BLG-353L b,Confirmed,0.27,0.16,0.48,,,,,,,,,,1.72,0.48,0.56,,,,,,,,2015,2015-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,MOA-2010-BLG-353L,271.304166671,-27.293333347,,,,,,6430.0,1150.0,1150.0,,,,0.18,0.11,0.32,,,,M,,,,,,,,,
MOA-2010-BLG-477L b,Confirmed,1.5,0.3,0.8,,,,,,,,,,2.0,1.0,1.0,,,,,,,0.00087,2012,2014-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2010-BLG-477L,271.5291667,-31.4544444,,,,,,2300.0,600.0,600.0,,,,0.67,0.13,0.13,,,,K,,,,,,,,,
MOA-2011-BLG-028L b,Confirmed,0.094,0.038,0.05,,,,,,,,,,7.14,0.64,0.64,,,,,,,,2015,2015-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,MOA-2011-BLGL-028L,270.858333342,-29.213333348,,,,,,7380.0,620.0,520.0,,,,0.75,0.3,0.35,,,,,,,,,,,,,
MOA-2011-BLG-262L b,Confirmed,0.0566340496492,0.0314633609162131,0.0880974105653966,,,,,,,,,,0.84,0.25,0.14,,,,,,,,2013,2014-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2011-BLG-262L,270.095833341,-30.754722208,,,,,,7350.0,350.0,350.0,,,,0.12,0.19,0.06,,,,,,,,,,,,,
MOA-2011-BLG-274 b,Confirmed,0.8,0.3,0.3,,,,,,,,,,40.0,,,,,,,,,,2014,2014-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,MOA-2011-BLG-274,268.675000014,-28.91638892,,,,,,800.0,250.0,250.0,,,,,,,,,,,,,,,,,,,
