name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
BD+20 1790 b,Confirmed,6.37,1.35,1.35,6.37,1.35,1.35,,,,7.78287,0.00076,0.00077,0.066,0.006,0.006,0.22,0.09,0.07,,,,0.002598,2009,2017-05-04,200.4,21.8,21.8,3085.8,0.5,0.5,,,,,,,,,,,,,,,,,,,905.0,94.0,93.0,,,,,,,,,,Announced on a professional conference,Other,,,,,BD+20 1790,110.9333333,20.4141667,9.93,,,,,25.4,4.0,4.0,0.3,0.2,0.2,0.63,0.09,0.09,0.71,0.03,0.03,K5V,0.057,0.023,0.023,4410.0,,,,Yes,
DW Uma b,Confirmed,10.06,,,10.06,,,,,,4967.0,,,5.8,,,,,,,,,,2016,2016-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,DW Uma,158.470833351,58.781944472,14.4,,,,,,,,,,,,,,,,,M3,,,,,,,,,
GJ 3293 c,Confirmed,0.06636,0.00396,0.00396,0.06636,0.00396,0.00396,,,,122.6196,0.24,0.24,0.36175,0.00048,0.00048,0.11,0.08,0.1,,,,,2014,2017-03-21,17.3,46.3,46.3,2455463.3,6.0,6.0,,,,,,,,,,,,,,,,,,,4.891,0.3,0.3,,,,,,,,,,Published in a refereed paper,Other,Radial Velocity,,,,GJ 3293,67.150000012,-25.169166672,11.96,,,,,17.9,3.0,3.0,0.02,0.09,0.09,0.42,,,0.404,0.027,0.027,M2.5,,,,3466.0,49.0,49.0,,,
GP Com b,Confirmed,26.2,16.6,16.6,,,,,,,0.032,,,,,,,,,55.5,22.5,22.5,,2016,2017-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,GP Com,196.426791681,18.017777779,16.22,,,,,,,,,,,0.33,0.0,inf,,,,DBe D,,,,,,,,,
HD 163296 b,Confirmed,0.3,,,,,,,,,,,,105.0,,,,,,,,,,2016,2016-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,Theoretical,,,,HD 163296,269.087500007,-21.956111135,6.85,,,,,122.0,3.0,17.0,,,,2.3,,,,,,A1V,0.005,,,,,,,,
HD 163296 c,Confirmed,0.3,,,,,,,,,,,,160.0,,,,,,,,,,2016,2016-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,Theoretical,,,,HD 163296,269.087500007,-21.956111135,6.85,,,,,122.0,3.0,17.0,,,,2.3,,,,,,A1V,0.005,,,,,,,,
HD 41248 c,Confirmed,0.0223,0.0111,0.00551,0.0223,0.0111,0.00551,,,,13.365,0.12,0.22,0.107,0.004,0.005,0.0117,0.0871,0.2453,,,,,2013,2017-08-18,54.0,-228.0,120.0,,,,,,,,,,,,,,,,,,,,,,1.86,0.83,0.19,,,,,,,,,,Published in a refereed paper,Other,Radial Velocity,,,,HD 41248,90.1375,-56.1619,8.82,,,,,52.38,1.95,1.95,-0.43,0.1,0.1,0.92,0.05,0.05,0.78,0.04,0.04,G2V,2.0,3.0,2.0,5713.0,50.0,50.0,,,
KIC 5095269(AB) b,Confirmed,7.698,0.054,0.054,,,,,,,237.70817,0.08237,0.08237,,,,0.0604,0.0021,0.0021,105.92,0.98,0.98,,2017,2017-07-07,27.67,2.07,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,TTV,,,,KIC 5095269(AB),290.551941671,40.2350222282,,13.389,12.499,12.217,12.215,,,,,,,,,,,,,F7V/M,,,,,,,,,2MASS J19221246+4014060
KIC 7917485 b,Confirmed,11.8,0.6,0.8,,,,,,,840.0,20.0,22.0,2.03,0.22,0.27,0.15,0.1,0.13,,,,,2016,2016-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,KIC 7917485,299.434583348,43.6326111362,13.2,,,,,,,,-0.02,0.15,0.15,1.63,0.12,0.15,,,,A,,,,7067.0,192.0,192.0,,,
Kepler-19 c,Confirmed,0.0412,0.0085,0.0085,,,,,,,28.731,0.005,0.012,,,,0.21,0.07,0.05,,,,,2011,2017-08-09,23.8,6.8,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,Theoretical,,,,Kepler-19,290.4208333,37.8516667,12.0,,,,,,,,-0.13,0.06,0.06,0.936,0.04,0.04,0.85,0.018,0.018,,1.9,1.7,1.7,5541.0,60.0,60.0,,,
Kepler-20 g,Confirmed,0.0628,0.0114,0.00969,0.0628,0.0114,0.00969,,,,34.94,0.035,0.038,0.2055,0.0021,0.0022,0.15,0.1,0.01,,,,,2016,2016-08-26,,,,,,,,,,2454967.50027,0.00068,0.00058,,,,,,,,,,,,,4.1,0.72,0.61,,,,,,,,,,Published in a refereed paper,Other,Theoretical,,,,Kepler-20,287.7,42.3386111,12.5,,,,,290.0,30.0,30.0,0.02,0.04,0.04,0.912,0.035,0.035,0.944,0.095,0.095,G8,8.8,2.7,2.7,5466.0,93.0,93.0,,,
OGLE-GD-ECL-11388 b,Confirmed,12.5,,,12.5,,,,,,3250.0,365.0,365.0,,,,,,,,,,,2016,2016-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,TTV,,,,OGLE-GD-ECL-11388,203.70833335,-64.142222232,,,,,,,,,,,,0.61,0.04,0.04,,,,sdB2VII,,,,,,,,,
V2051 Oph b,Confirmed,7.3,0.7,0.7,7.3,0.7,0.7,,,,,,,9.0,,,0.37,,,,,,,2015,2016-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,PM J17083-2548S (AB) b,,V2051 Oph,257.079500006,-25.8088055786,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,PM J17083-2548S (AB)
V396 Hya b,Confirmed,18.3,12.2,12.2,,,,,,,,,,,,,,,,52.0,27.0,27.0,,2016,2017-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,,,V396 Hya,198.193629182,-23.3588555696,17.3,,,,,,,,,,,0.32,0.0,inf,,,,DD D,,,,,,,,,
