name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
2M 1938+46 b,Confirmed,1.9,0.1,0.1,,,,,,,416.0,2.0,2.0,0.92,0.02,0.02,,,,,,,,2015,2016-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,TTV,,Kepler-451 b,,2M  1938+46,294.637500011,46.066388903,,,,,,,,,,,,0.6,0.03,0.03,,,,sdB+M,,,,,,,,,Kepler-451
DP Leo b,Confirmed,6.05,0.47,0.47,,,,,,,10230.0,730.0,730.0,8.19,0.39,0.39,0.39,0.13,0.13,,,,,2009,2010-11-18,282.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,DP Leo,169.3166667,17.9613889,17.5,,,,,,,,,,,0.69,,,,,,AM Her,,,,,,,,,
HU Aqr (AB) c,Confirmed,5.9,0.1,0.1,,,,,,,5646.0,8.0,8.0,6.18,,,0.29,0.03,0.03,,,,,2011,2016-02-23,351.0,1.0,1.0,2450050.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,HU Aqr (AB),316.9916667,-5.2947222,15.0,,,,,,,,,,,1.0,,,,,,Catac. var.,,,,,,,,,
HW Vir (AB) b,Confirmed,14.3,1.0,1.0,,,,,,,4640.0,73.0,73.0,4.69,0.06,0.06,0.4,0.1,0.1,,,,0.025912,2008,2012-06-15,342.0,10.0,10.0,2452410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,HW Vir (AB),191.0833333,-8.6713889,10.9,,,,,181.0,20.0,20.0,,,,0.627,0.013,0.013,,,,sdB+M,,,,,,,,,
KIC 10001893 b,Confirmed,,,,,,,,,,0.2197,,,,,,,,,,,,,2014,2014-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,KIC 10001893,287.389191,46.984489,16.0,,,,,,,,,,,0.47,,,,,,,,,,26700.0,300.0,300.0,,,
KIC 10001893 d,Confirmed,,,,,,,,,,0.81161,,,,,,,,,,,,,2014,2014-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,KIC 10001893,287.389191,46.984489,16.0,,,,,,,,,,,0.47,,,,,,,,,,26700.0,300.0,300.0,,,
NN Ser (AB) c,Confirmed,6.91,0.54,0.54,,,,,,,5660.0,165.0,165.0,5.38,0.2,0.2,0.0,,,,,,0.01076,2010,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,NN Ser (AB),238.2333333,12.9130556,16.6,,,,,500.0,,,,,,0.646,,,,,,WD+M,,,,,,,IR Excess,,
NN Ser (AB) d,Confirmed,2.28,0.38,0.38,,,,,,,2830.0,130.0,130.0,3.39,0.1,0.1,0.2,0.02,0.02,,,,0.00678,2009,2016-02-26,74.0,4.0,4.0,2454515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,NN Ser (AB),238.2333333,12.9130556,16.6,,,,,500.0,,,,,,0.646,,,,,,WD+M,,,,,,,IR Excess,,
NY Vir b,Confirmed,2.78,,,,,,,,,2987.745,,,3.39,,,,,,,,,,2011,2014-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,NY Vir,204.7,-2.0302778,13.3,,,,,,,,,,,0.6,,,,,,B D,,,,33000.0,,,,,
NY Vir c,Confirmed,4.49,,,,,,,,,9861.75,,,7.54,,,,,,,,,,2011,2014-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,NY Vir,204.7,-2.0302778,13.3,,,,,,,,,,,0.6,,,,,,B D,,,,33000.0,,,,,
