name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
 EPIC 22881391 b,Confirmed,0.7,nan,0,,,,0.079,0.008,0.008,0.179715,0.000001,0.000001,0.0058,0.0006,0.0006,,,,89.6,3.3,3.3,,2017,2017-07-17,,,,,,,,,,2457583.0242,0.0004,0.0004,,,,,,,0.02,0.1,0.1,,,,,,,1471,47,47,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,EPIC 228813918,186.87072501,-6.1952250132,15.498,,,,,95,14,14,0.08,0.12,0.12,0.463,0.052,0.052,0.442,0.044,0.044,M3 V,,,,3492,70,70,,,2MASS J12272899-0611428
1SWASP J1407 b,Confirmed,20,6,6,20,6,6,,,,3725,900,900,3.9,1.7,1.7,,,,,,,,2012,2014-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,1SWASP J1407,211.950000016,-39.761944469,12.4,,,,,133,12,12,,,,0.9,,,0.99,0.11,0.11,,0.016,,,4400,100,100,,,
38 Vir b,Confirmed,4.51,0.5,0.5,4.51,0.5,0.5,,,,825.9,6.2,6.2,1.82,0.07,0.07,0.03,0.04,0.04,,,,,2016,2017-02-20,,,,,,,,,,2455490.2,177.3,177.3,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,38 Vir,193.296489462,-3.5530992913,6.11,,,,,,,,0.07,,,1.18,0.12,0.12,1.45,0.07,0.07,F6 V,1.9,0.7,0.6,6557,96,96,,,"HIP 62875, HD 111998"
55 Cnc e,Confirmed,0.02547,0.0008105,0.0008944,0.02547,0.00081,0.00082,0.1775362254,0.0071371347,0.0071371347,0.7365478,0.0000012,0.0000016,0.015439,0.000015,0.000015,0.028,0.019,0.022,90.36,4.66,3.96,0.001264,2004,2017-06-11,170,130,130,2449999.83643,0.0001,0.0001,,,,2455962.0697,0.0018,0.0018,,,,72.4,12,12,,,,,,,6.12,0.2,0.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196,24,24,,,
BD+20 594 b,Confirmed,0.0513,0.019,0.019,0.0513,0.019,0.019,0.199,0.0098,0.012,41.6855,0.0031,0.0031,0.241,0.019,0.019,0,,,89.55,0.14,0.17,,2016,2016-02-23,,,,,,,,,,2457151.9021,0.0047,0.0042,,,,,,,,,,,,,3.1,1.1,1.1,386,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,BD+20 594,53.650000012,20.599166691,11,,,,,152.1,7.4,9.7,-0.15,0.05,0.05,0.961,0.029,0.032,0.928,0.04,0.055,K0 ,3.34,1.49,1.95,5766,99,99,,,2MASS 03343623+2035574
CVSO 30 b ,Confirmed,6.2,1.7,1.9,5.5,1.4,1.4,1.91,0.21,0.21,0.448413,0.00004,0.00004,0.00838,0.00072,0.00072,,,,61.8,3.7,3.7,0.000025,2012,2016-06-12,,,,,,,,,,2455543.9402,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CVSO 30,81.2833333,1.5733333,16.26,,,,,330,0,0,,,,0.39,0.05,0.05,1.39,,,M3 PMS,0.00265,0.00003,0.00003,3740,,,,,PTFO 8-8695
CoRoT-1 b,Confirmed,1.03,0.12,0.12,,,,1.49,0.08,0.08,1.5089557,0.0000064,0.0000064,0.0254,0.0004,0.0004,0,,,85.1,0.5,0.5,0.000055,2007,2014-01-24,,,,,,,,,,2454159.4532,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-1,102.0791667,-3.1022222,13.6,,,,,460,100,100,0.06,0.07,0.07,0.95,0.15,0.15,1.11,0.05,0.05,G0V,,,,6298,66,66,,,
CoRoT-10 b,Confirmed,2.75,0.14,0.14,,,,0.97,0.05,0.05,13.2406,0.0002,0.0002,0.1055,0.0021,0.0021,0.53,0.04,0.04,88.55,0.2,0.2,0.000306,2010,2014-08-29,218.9,6.4,6.4,2454990.85,0.08,0.08,,,,2454273.3436,0.0012,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-10,291.0625,0.7461111,15.22,,,,,345,50,50,0.26,0.07,0.07,0.89,0.05,0.05,0.79,0.05,0.05,K1V,3,inf,nan,5075,75,75,,,
CoRoT-11 b,Confirmed,2.33,0.27,0.27,,,,1.43,0.033,0.033,2.994325,0.000021,0.000021,0.04351,0.00036,0.00036,0,,,81.41,0.17,0.17,0.000078,2010,2014-08-17,,,,,,,,,,2454597.679688,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560,30,30,0.04,0.03,0.03,1.27,0.05,0.05,1.36,0.13,0.13,F6V,2,1,1,6343,72,72,,,
CoRoT-12 b,Confirmed,0.917,0.065,0.07,,,,1.44,0.13,0.13,2.828042,0.000013,0.000013,0.04016,0.00092,0.00092,0.07,0.042,0.042,85.48,0.77,0.77,0.000035,2010,2014-08-16,105,27,27,,,,,,,2454398.62707,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150,85,85,0.16,0.1,0.1,1.078,0.072,0.072,1.116,0.092,0.092,G2V,6.3,3.1,3.1,5675,80,80,,,
